"Letter","Synapses","Sex","Treatment","Time","ID","P1","P2","X","Y","Age","Animal","Category","Cell"
"AA","Glutamate","Male","Control",11,"23615006",-9.532727242,-8.312024117,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.08333333,"23615006",-9.733501434,-8.512798309,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.16666667,"23615006",-10.37597656,-8.544921875,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.25,"23615006",-8.175498962,-44.79659271,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.33333333,"23615006",-109.4858246,-3.895006657,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.41666667,"23615006",-8.809943199,-8.809943199,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.5,"23615006",-44.45126343,-6.609465122,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.58333333,"23615006",-9.516665459,-37.59283829,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.66666667,"23615006",-11.79745293,-8.135343552,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.75,"23615006",-61.07530975,-5.533318996,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.83333333,"23615006",-11.68502045,-48.3061142,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",11.91666667,"23615006",-9.364077568,-8.143374443,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12,"23615006",-139.8508148,-146.564682,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.08333333,"23615006",-7.219816685,-32.85458374,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.16666667,"23615006",-102.1214523,-3.854851961,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.25,"23615006",-79.04052734,-66.22314453,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.33333333,"23615006",-8.906313896,-79.70709229,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.41666667,"23615006",-44.9090271,-95.56820679,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.5,"23615006",-49.35816574,-53.02027512,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.58333333,"23615006",-41.90545273,-90.12322998,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.66666667,"23615006",-79.91590118,-71.98133087,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.75,"23615006",-9.042840004,-101.8162766,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.83333333,"23615006",-57.87096405,-148.8133545,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",12.91666667,"23615006",-9.11511898,-9.725470543,165.2896875,215.629375,31,13,2,"13.2.1"
"AA","Glutamate","Male","Control",13,"23615006",-51.43818283,-7.492868423,165.2896875,215.629375,31,13,2,"13.2.1"
